game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,25-079,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,25-082,TOR,@,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,25-083,TOR,@,CHI,W (+24),0,19:57,2,3,.667,2,3,.667,0,0,,0,3,3,0,1,0,1,2,6,4.8,+18
,2019-10-28,25-085,TOR,,ORL,W (+9),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,25-087,TOR,,DET,W (+12),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
3,2019-11-02,25-090,TOR,@,MIL,L (-10),0,8:49,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.7,-8
4,2019-11-06,25-094,TOR,,SAC,W (+4),0,10:59,2,3,.667,2,3,.667,2,2,1.000,0,1,1,0,1,0,0,0,8,8.0,-3
5,2019-11-08,25-096,TOR,@,NOP,W (+18),0,12:19,1,2,.500,1,2,.500,0,0,,1,1,2,0,1,0,2,3,3,0.8,-5
6,2019-11-10,25-098,TOR,@,LAL,W (+9),0,14:33,2,3,.667,1,2,.500,0,1,.000,0,0,0,2,0,0,0,2,5,3.9,+11
7,2019-11-11,25-099,TOR,@,LAC,L (-10),0,11:22,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,1,3,8,5.2,-5
