game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,34-144,POR,,DEN,L (-8),0,13:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-9
2,2019-10-25,34-146,POR,@,SAC,W (+10),0,11:12,0,3,.000,0,3,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.2,-6
3,2019-10-27,34-148,POR,@,DAL,W (+2),0,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-15
4,2019-10-28,34-149,POR,@,SAS,L (-3),1,28:52,1,4,.250,1,4,.250,2,2,1.000,0,10,10,3,1,0,0,1,5,8.3,+8
5,2019-10-30,34-151,POR,@,OKC,W (+3),1,25:56,2,5,.400,2,4,.500,0,0,,1,4,5,1,1,2,0,2,6,7.5,-3
6,2019-11-02,34-154,POR,,PHI,L (-1),1,27:12,2,6,.333,1,3,.333,3,4,.750,1,1,2,1,0,0,1,1,8,4.5,-9
7,2019-11-04,34-156,POR,@,GSW,L (-9),1,17:10,1,5,.200,1,4,.250,0,0,,2,3,5,1,0,1,1,0,3,2.6,-7
8,2019-11-07,34-159,POR,@,LAC,L (-6),1,20:43,1,3,.333,1,3,.333,1,1,1.000,0,2,2,1,0,1,1,0,4,3.3,+8
9,2019-11-08,34-160,POR,,BRK,L (-4),0,4:49,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-4
10,2019-11-10,34-162,POR,,ATL,W (+11),0,22:01,2,7,.286,1,5,.200,1,2,.500,2,5,7,0,1,0,2,2,6,2.6,-9
