game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-278,POR,,DEN,L (-8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,20-280,POR,@,SAC,W (+10),0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
,2019-10-27,20-282,POR,@,DAL,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,20-283,POR,@,SAS,L (-3),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,20-285,POR,@,OKC,W (+3),0,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
3,2019-11-02,20-288,POR,,PHI,L (-1),0,4:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1
4,2019-11-04,20-290,POR,@,GSW,L (-9),0,5:12,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,0.6,-2
,2019-11-07,20-293,POR,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-08,20-294,POR,,BRK,L (-4),0,13:15,1,3,.333,1,3,.333,0,0,,1,1,2,0,0,0,1,0,3,1.3,-11
6,2019-11-10,20-296,POR,,ATL,W (+11),0,15:46,3,8,.375,1,4,.250,0,0,,2,3,5,1,0,0,0,2,7,4.8,-1
