game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-279,NYK,@,SAS,L (-9),1,6:51,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,-6
2,2019-10-25,23-281,NYK,@,BRK,L (-4),0,23:25,6,7,.857,3,4,.750,7,11,.636,0,3,3,2,1,1,4,5,22,15.9,-3
3,2019-10-26,23-282,NYK,,BOS,L (-23),0,20:50,0,4,.000,0,4,.000,2,2,1.000,0,1,1,1,0,0,1,3,2,-2.0,-25
,2019-10-28,23-284,NYK,,CHI,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-286,NYK,@,ORL,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-288,NYK,@,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-03,23-290,NYK,,SAC,L (-21),0,24:00,3,9,.333,2,5,.400,3,4,.750,1,3,4,4,0,1,3,3,11,6.4,-6
5,2019-11-06,23-293,NYK,@,DET,L (-20),0,3:43,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,5,4.3,+4
6,2019-11-08,23-295,NYK,@,DAL,W (+4),0,16:49,1,3,.333,0,0,,2,2,1.000,0,1,1,2,1,0,1,4,4,2.4,+4
7,2019-11-10,23-297,NYK,,CLE,L (-21),0,15:58,5,5,1.000,3,3,1.000,0,0,,0,1,1,2,0,1,3,2,13,10.1,-13
