game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,34-172,HOU,,MIL,L (-6),1,38:21,6,10,.600,5,8,.625,0,0,,2,5,7,0,1,0,2,5,17,12.3,-5
2,2019-10-26,34-174,HOU,,NOP,W (+3),1,38:16,6,9,.667,2,3,.667,2,2,1.000,2,3,5,3,1,1,2,3,16,15.0,+16
3,2019-10-28,34-176,HOU,,OKC,W (+4),1,33:24,6,9,.667,5,7,.714,0,0,,1,8,9,1,1,1,0,4,17,17.0,+16
4,2019-10-30,34-178,HOU,@,WAS,W (+1),1,33:11,3,7,.429,1,4,.250,2,2,1.000,2,3,5,4,3,0,0,5,9,11.4,+9
5,2019-11-01,34-180,HOU,@,BRK,L (-7),1,34:51,3,8,.375,3,8,.375,0,0,,3,5,8,1,3,1,2,3,9,9.4,-23
6,2019-11-03,34-182,HOU,@,MIA,L (-29),1,24:48,1,4,.250,0,2,.000,0,0,,0,6,6,1,0,0,0,2,2,1.3,-41
7,2019-11-04,34-183,HOU,@,MEM,W (+7),1,34:04,0,1,.000,0,1,.000,0,0,,1,5,6,3,0,0,3,4,0,-1.0,-12
8,2019-11-06,34-185,HOU,,GSW,W (+17),1,37:59,9,14,.643,4,8,.500,0,0,,5,6,11,4,1,0,3,2,22,21.1,+32
9,2019-11-09,34-188,HOU,@,CHI,W (+23),1,32:05,1,3,.333,1,3,.333,1,2,.500,0,5,5,1,2,2,0,4,4,5.9,+2
10,2019-11-11,34-190,HOU,@,NOP,W (+6),1,33:28,3,8,.375,1,5,.200,3,3,1.000,0,7,7,0,0,0,1,1,10,6.3,-7
