game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-213,IND,,DET,L (-9),1,38:05,9,15,.600,4,7,.571,3,3,1.000,2,7,9,0,2,3,4,3,25,20.5,-4
2,2019-10-26,23-216,IND,@,CLE,L (-11),1,39:48,3,9,.333,2,4,.500,3,4,.750,1,10,11,1,0,1,3,2,11,6.8,-14
3,2019-10-28,23-218,IND,@,DET,L (-2),1,38:47,7,11,.636,1,3,.333,1,2,.500,5,0,5,1,0,1,0,2,16,14.8,-2
4,2019-10-30,23-220,IND,@,BRK,W (+10),1,9:41,3,5,.600,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,7,5.3,+4
,2019-11-01,23-222,IND,,CLE,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,23-224,IND,,CHI,W (+13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,23-226,IND,@,CHO,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-227,IND,,WAS,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-229,IND,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,23-231,IND,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
