game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-170,MEM,@,MIA,L (-19),1,16:09,3,7,.429,0,2,.000,1,2,.500,0,1,1,1,1,1,3,5,7,0.6,-19
2,2019-10-25,27-172,MEM,,CHI,L (-8),1,18:28,4,10,.400,0,0,,2,2,1.000,4,9,13,0,0,0,2,1,10,7.7,+2
3,2019-10-27,27-174,MEM,,BRK,W (+1),1,19:42,5,11,.455,3,5,.600,3,3,1.000,1,10,11,4,1,2,0,1,16,18.8,+10
4,2019-10-29,27-176,MEM,@,LAL,L (-29),1,22:46,5,10,.500,0,2,.000,4,4,1.000,3,8,11,2,0,0,2,3,14,11.7,-2
5,2019-11-02,27-180,MEM,,PHO,L (-9),1,24:10,6,9,.667,1,1,1.000,0,0,,3,4,7,2,0,0,3,3,13,9.6,-6
6,2019-11-04,27-182,MEM,,HOU,L (-7),1,23:49,4,11,.364,0,1,.000,2,2,1.000,1,9,10,3,0,1,1,3,10,7.9,-2
7,2019-11-06,27-184,MEM,,MIN,W (+16),1,27:10,5,9,.556,0,0,,0,0,,2,12,14,4,0,0,3,2,10,9.7,+4
8,2019-11-08,27-186,MEM,@,ORL,L (-32),1,21:56,6,11,.545,2,4,.500,1,1,1.000,0,9,9,0,0,0,4,1,15,8.0,-16
9,2019-11-09,27-187,MEM,,DAL,L (-16),1,23:18,3,11,.273,0,4,.000,4,4,1.000,1,2,3,3,0,1,1,2,10,5.8,-24
10,2019-11-11,27-189,MEM,@,SAS,W (+4),1,27:20,9,12,.750,0,1,.000,0,0,,3,9,12,1,0,2,2,4,18,16.5,+7
