game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-341,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,25-343,CHI,@,MEM,W (+8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,25-344,CHI,,TOR,L (-24),0,4:34,1,4,.250,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,1.3,-2
,2019-10-28,25-346,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,25-348,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,25-350,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,25-352,CHI,@,IND,L (-13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,25-354,CHI,,LAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,25-355,CHI,@,ATL,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,25-358,CHI,,HOU,L (-23),,,,,,,,,,,,,,,,,,,,,,
