game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,25-239,TOR,,NOP,W (+8),1,44:21,12,18,.667,5,7,.714,5,6,.833,0,5,5,7,2,0,2,0,34,32.2,+18
2,2019-10-25,25-242,TOR,@,BOS,L (-6),1,41:47,2,11,.182,2,5,.400,2,2,1.000,1,4,5,6,1,1,4,4,8,3.3,-8
3,2019-10-26,25-243,TOR,@,CHI,W (+24),1,30:35,5,14,.357,3,8,.375,3,3,1.000,0,4,4,6,1,0,3,3,16,10.4,+28
4,2019-10-28,25-245,TOR,,ORL,W (+9),1,38:40,3,14,.214,1,7,.143,7,7,1.000,0,5,5,6,2,0,3,0,14,10.1,+8
5,2019-10-30,25-247,TOR,,DET,W (+12),1,30:18,5,9,.556,1,3,.333,2,2,1.000,0,1,1,11,1,0,1,3,13,15.5,+21
6,2019-11-02,25-250,TOR,@,MIL,L (-10),1,41:17,2,10,.200,2,5,.400,6,6,1.000,0,6,6,7,0,0,1,5,12,9.5,-14
7,2019-11-06,25-254,TOR,,SAC,W (+4),1,35:06,3,9,.333,2,3,.667,4,4,1.000,0,2,2,5,1,0,1,0,12,11.0,+7
8,2019-11-08,25-256,TOR,@,NOP,W (+18),1,36:20,3,15,.200,3,10,.300,3,4,.750,0,5,5,11,3,0,3,3,12,10.3,+14
9,2019-11-10,25-258,TOR,@,LAL,W (+9),1,38:33,8,18,.444,4,9,.444,3,4,.750,0,7,7,10,2,0,3,1,23,20.9,-6
10,2019-11-11,25-259,TOR,@,LAC,L (-10),1,45:26,6,20,.300,1,6,.167,1,2,.500,0,2,2,8,3,0,3,3,14,7.0,-14
