game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-060,MIN,@,BRK,W (+1),0,14:22,1,3,.333,0,2,.000,0,0,,0,4,4,1,2,0,1,1,2,2.8,+2
2,2019-10-25,24-062,MIN,@,CHO,W (+22),0,14:02,2,2,1.000,0,0,,3,3,1.000,1,4,5,1,0,0,1,2,7,7.2,0
3,2019-10-27,24-064,MIN,,MIA,W (+7),0,13:12,4,4,1.000,0,0,,0,0,,2,1,3,0,1,0,0,1,8,9.1,+3
4,2019-10-30,24-067,MIN,@,PHI,L (-22),0,15:04,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,1,2,-0.5,-13
5,2019-11-02,24-070,MIN,@,WAS,W (+22),0,13:07,3,3,1.000,0,0,,0,0,,1,4,5,0,1,1,1,3,6,6.5,+19
6,2019-11-04,24-072,MIN,,MIL,L (-28),0,16:08,1,7,.143,1,4,.250,2,2,1.000,1,5,6,1,0,0,0,1,5,3.0,+3
7,2019-11-06,24-074,MIN,@,MEM,L (-16),0,15:45,1,3,.333,0,1,.000,3,4,.750,2,2,4,4,0,1,0,0,5,8.4,+2
8,2019-11-08,24-076,MIN,,GSW,W (+6),0,9:19,2,4,.500,0,0,,0,0,,4,2,6,1,0,0,3,0,4,3.1,-6
9,2019-11-10,24-078,MIN,,DEN,L (-2),0,5:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-13
10,2019-11-11,24-079,MIN,@,DET,W (+6),0,16:51,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,4,2,1.7,+14
