game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-364,ORL,,CLE,W (+9),1,34:13,8,16,.500,1,5,.200,4,5,.800,1,9,10,3,1,0,1,0,21,18.1,+2
2,2019-10-26,29-002,ORL,@,ATL,L (-4),1,31:11,7,19,.368,0,4,.000,2,2,1.000,4,6,10,1,1,1,2,3,16,9.3,-8
3,2019-10-28,29-004,ORL,@,TOR,L (-9),1,25:00,1,13,.077,1,3,.333,2,2,1.000,3,9,12,2,0,0,0,1,5,2.1,-6
4,2019-10-30,29-006,ORL,,NYK,W (+12),1,33:51,8,17,.471,2,4,.500,3,4,.750,4,9,13,4,1,1,1,2,21,20.1,+24
5,2019-11-01,29-008,ORL,,MIL,L (-32),1,25:05,6,12,.500,0,3,.000,2,2,1.000,1,6,7,2,2,1,2,2,14,11.8,-3
6,2019-11-02,29-009,ORL,,DEN,L (-4),1,33:47,10,16,.625,1,4,.250,3,3,1.000,2,5,7,2,0,1,2,4,24,18.2,-3
7,2019-11-05,29-012,ORL,@,OKC,L (-8),1,33:39,4,15,.267,0,3,.000,2,2,1.000,3,9,12,2,0,2,1,1,10,7.3,-16
8,2019-11-06,29-013,ORL,@,DAL,L (-1),1,33:22,7,15,.467,1,3,.333,4,5,.800,1,10,11,7,1,1,2,2,19,18.4,+5
9,2019-11-08,29-015,ORL,,MEM,W (+32),1,31:51,9,16,.563,1,3,.333,4,5,.800,3,13,16,6,2,1,1,0,23,26.9,+27
10,2019-11-10,29-017,ORL,,IND,L (-7),1,34:45,8,17,.471,2,5,.400,0,0,,3,14,17,3,1,2,2,4,18,16.5,-6
