game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-313,SAS,,NYK,W (+9),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,20-316,SAS,,WAS,W (+2),0,4:56,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-3
,2019-10-28,20-318,SAS,,POR,W (+3),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-31,20-321,SAS,@,LAC,L (-6),0,4:59,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-6
3,2019-11-01,20-322,SAS,@,GSW,W (+17),0,2:11,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,-2
,2019-11-03,20-324,SAS,,LAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-05,20-326,SAS,@,ATL,L (-8),0,2:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-1
5,2019-11-07,20-328,SAS,,OKC,W (+9),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
6,2019-11-09,20-330,SAS,,BOS,L (-20),0,9:02,1,7,.143,0,1,.000,0,1,.000,1,2,3,1,0,1,1,1,2,-1.6,+1
,2019-11-11,20-332,SAS,,MEM,L (-4),,,,,,,,,,,,,,,,,,,,,,
