game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,24-202,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,24-204,LAC,@,GSW,W (+19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,24-206,LAC,@,PHO,L (-8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-28,24-208,LAC,,CHO,W (+15),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2,2019-10-30,24-210,LAC,@,UTA,L (-14),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
,2019-10-31,24-211,LAC,,SAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,24-214,LAC,,UTA,W (+11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,24-217,LAC,,MIL,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,24-218,LAC,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,24-222,LAC,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
