game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-061,CHO,,CHI,W (+1),1,37:37,9,17,.529,7,11,.636,2,2,1.000,1,3,4,1,1,1,4,2,27,17.9,+8
2,2019-10-25,21-063,CHO,,MIN,L (-22),1,29:16,4,8,.500,1,4,.250,1,2,.500,2,8,10,0,1,1,3,2,10,7.3,+7
3,2019-10-27,21-065,CHO,@,LAL,L (-19),1,35:45,2,7,.286,1,2,.500,3,4,.750,0,6,6,1,1,1,3,4,8,3.1,-10
4,2019-10-28,21-066,CHO,@,LAC,L (-15),1,30:45,4,8,.500,2,5,.400,1,3,.333,1,6,7,0,2,0,2,4,11,7.1,-20
5,2019-10-30,21-068,CHO,@,SAC,W (+7),1,35:50,10,13,.769,2,3,.667,1,2,.500,1,7,8,3,0,0,0,1,23,22.0,+19
6,2019-11-02,21-071,CHO,@,GSW,W (+6),1,32:47,5,8,.625,1,3,.333,0,0,,1,4,5,2,2,0,1,4,11,10.1,-2
7,2019-11-05,21-074,CHO,,IND,W (+2),1,24:20,6,9,.667,0,2,.000,4,4,1.000,0,3,3,3,1,0,1,1,16,14.7,-16
8,2019-11-07,21-076,CHO,,BOS,L (-21),1,27:26,1,8,.125,0,1,.000,2,3,.667,2,6,8,2,0,4,1,3,4,3.6,-12
9,2019-11-09,21-078,CHO,,NOP,L (-5),1,24:57,3,9,.333,0,0,,4,5,.800,4,3,7,2,2,0,2,2,10,8.8,+1
10,2019-11-10,21-079,CHO,@,PHI,L (-8),1,36:52,6,11,.545,3,4,.750,0,0,,0,4,4,0,4,0,0,0,15,14.9,+2
