game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-010,MEM,@,MIA,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,25-012,MEM,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,25-014,MEM,,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,25-016,MEM,@,LAL,L (-29),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,25-020,MEM,,PHO,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,25-022,MEM,,HOU,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,25-024,MEM,,MIN,W (+16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,25-026,MEM,@,ORL,L (-32),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-09,25-027,MEM,,DAL,L (-16),0,2:51,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,3.3,+5
,2019-11-11,25-029,MEM,@,SAS,W (+4),,,,,,,,,,,,,,,,,,,,,,
