game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,30-346,HOU,,MIL,L (-6),1,32:52,7,17,.412,3,7,.429,7,11,.636,4,12,16,7,2,1,3,3,24,23.1,0
2,2019-10-26,30-348,HOU,,NOP,W (+3),1,33:35,9,17,.529,1,3,.333,9,10,.900,0,10,10,13,1,0,4,3,28,27.2,-7
3,2019-10-28,30-350,HOU,,OKC,W (+4),1,35:29,9,16,.563,0,1,.000,3,4,.750,5,7,12,9,1,0,5,4,21,19.3,+19
4,2019-10-30,30-352,HOU,@,WAS,W (+1),1,34:41,7,16,.438,1,5,.200,2,4,.500,4,6,10,12,2,1,4,2,17,18.7,+2
5,2019-11-01,30-354,HOU,@,BRK,L (-7),1,36:24,12,25,.480,1,6,.167,2,4,.500,0,7,7,8,4,1,2,2,27,23.1,-15
6,2019-11-03,30-356,HOU,@,MIA,L (-29),1,26:14,3,11,.273,1,6,.167,3,6,.500,0,4,4,6,1,1,7,3,10,1.2,-46
,2019-11-04,30-357,HOU,@,MEM,W (+7),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-06,30-359,HOU,,GSW,W (+17),1,30:17,8,18,.444,1,3,.333,1,4,.250,0,8,8,6,2,0,3,5,18,11.0,+40
8,2019-11-09,30-362,HOU,@,CHI,W (+23),1,31:47,10,20,.500,0,3,.000,6,8,.750,0,7,7,2,1,0,7,4,26,11.1,+1
9,2019-11-11,30-364,HOU,@,NOP,W (+6),1,35:22,11,21,.524,1,8,.125,3,4,.750,0,5,5,4,4,0,6,4,26,16.0,-6
