game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,19-249,CHI,@,CHO,L (-1),0,27:09,6,13,.462,1,4,.250,4,5,.800,0,3,3,7,0,0,1,2,17,13.9,+6
2,2019-10-25,19-251,CHI,@,MEM,W (+8),0,30:19,10,16,.625,4,8,.500,1,2,.500,0,6,6,2,0,0,0,1,25,20.2,+15
3,2019-10-26,19-252,CHI,,TOR,L (-24),0,22:12,3,14,.214,0,4,.000,2,2,1.000,0,6,6,1,2,0,3,2,8,0.1,-6
4,2019-10-28,19-254,CHI,@,NYK,L (-7),0,16:04,2,5,.400,1,3,.333,0,0,,0,2,2,3,0,0,0,0,5,5.0,0
5,2019-10-30,19-256,CHI,@,CLE,L (-6),0,20:31,3,12,.250,2,7,.286,0,0,,1,0,1,1,2,0,0,2,8,3.4,-11
6,2019-11-01,19-258,CHI,,DET,W (+6),0,19:27,4,12,.333,1,6,.167,0,0,,1,0,1,0,0,0,3,0,9,-0.1,-5
7,2019-11-03,19-260,CHI,@,IND,L (-13),0,23:35,0,6,.000,0,2,.000,1,2,.500,0,4,4,2,0,0,2,0,1,-3.0,-3
8,2019-11-05,19-262,CHI,,LAL,L (-6),0,23:30,7,15,.467,1,5,.200,3,3,1.000,0,5,5,4,1,0,2,1,18,13.2,+1
9,2019-11-06,19-263,CHI,@,ATL,W (+20),0,29:32,3,13,.231,1,7,.143,3,6,.500,0,2,2,3,0,0,0,0,10,3.6,+7
10,2019-11-09,19-266,CHI,,HOU,L (-23),0,27:08,4,16,.250,0,6,.000,2,3,.667,0,3,3,1,1,0,2,2,10,-0.2,-13
