game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,25-113,SAS,,NYK,W (+9),0,22:10,3,6,.500,0,0,,3,5,.600,1,1,2,3,0,0,2,2,9,5.5,+2
2,2019-10-26,25-116,SAS,,WAS,W (+2),0,19:32,4,6,.667,2,3,.667,0,0,,0,1,1,0,0,1,0,4,10,6.8,+6
3,2019-10-28,25-118,SAS,,POR,W (+3),0,25:40,8,11,.727,0,0,,5,6,.833,1,4,5,3,0,0,0,4,21,18.5,+5
4,2019-10-31,25-121,SAS,@,LAC,L (-6),0,24:50,6,11,.545,3,4,.750,5,6,.833,2,3,5,2,1,2,1,2,20,18.6,+7
5,2019-11-01,25-122,SAS,@,GSW,W (+17),1,25:59,4,11,.364,1,4,.250,1,1,1.000,2,1,3,1,0,0,1,4,10,3.7,-6
6,2019-11-03,25-124,SAS,,LAL,L (-7),0,23:39,4,7,.571,0,1,.000,4,4,1.000,0,3,3,2,2,0,1,3,12,10.8,-4
7,2019-11-05,25-126,SAS,@,ATL,L (-8),0,18:41,1,6,.167,1,4,.250,2,2,1.000,0,0,0,2,1,1,0,1,5,3.9,+9
8,2019-11-07,25-128,SAS,,OKC,W (+9),0,20:14,3,6,.500,0,1,.000,2,2,1.000,0,3,3,3,0,0,2,2,8,5.2,+8
9,2019-11-09,25-130,SAS,,BOS,L (-20),0,26:15,3,9,.333,1,2,.500,2,2,1.000,2,2,4,1,0,3,0,4,9,7.1,-9
10,2019-11-11,25-132,SAS,,MEM,L (-4),0,28:44,5,13,.385,2,6,.333,3,3,1.000,0,3,3,5,0,1,1,1,15,11.6,-2
