game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-132,POR,,DEN,L (-8),1,26:03,6,7,.857,0,0,,4,4,1.000,5,14,19,0,0,2,4,4,16,17.0,0
2,2019-10-25,30-134,POR,@,SAC,W (+10),1,26:19,9,10,.900,0,0,,4,6,.667,2,7,9,3,1,1,2,2,22,22.3,+23
3,2019-10-27,30-136,POR,@,DAL,W (+2),1,25:41,2,4,.500,0,0,,2,2,1.000,2,12,14,0,0,1,3,6,6,4.3,-4
4,2019-10-28,30-137,POR,@,SAS,L (-3),1,24:05,4,9,.444,0,0,,0,0,,1,6,7,1,0,0,2,3,8,3.3,+1
5,2019-10-30,30-139,POR,@,OKC,W (+3),1,24:47,4,9,.444,0,0,,4,6,.667,5,7,12,0,2,2,2,4,12,11.9,-3
,2019-11-02,30-142,POR,,PHI,L (-1),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-04,30-144,POR,@,GSW,L (-9),1,28:16,10,14,.714,0,0,,2,5,.400,5,6,11,0,0,2,1,2,22,19.9,-15
7,2019-11-07,30-147,POR,@,LAC,L (-6),1,27:29,7,18,.389,0,0,,3,4,.750,9,10,19,1,1,2,3,2,17,15.4,+1
8,2019-11-08,30-148,POR,,BRK,L (-4),1,34:20,4,10,.400,0,0,,2,2,1.000,4,11,15,1,0,5,0,2,10,14.1,-1
9,2019-11-10,30-150,POR,,ATL,W (+11),1,35:25,7,13,.538,0,0,,7,9,.778,4,8,12,1,0,3,2,3,21,18.7,+9
