game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,24-324,NOP,@,TOR,L (-8),0,18:02,0,4,.000,0,2,.000,3,3,1.000,3,3,6,3,1,2,1,5,3,4.7,+11
2,2019-10-25,24-327,NOP,,DAL,L (-7),0,21:26,3,5,.600,2,3,.667,1,2,.500,1,5,6,1,0,0,1,2,9,7.4,-3
3,2019-10-26,24-328,NOP,@,HOU,L (-3),0,32:22,1,4,.250,0,2,.000,0,0,,2,3,5,3,2,0,0,4,2,4.4,-1
4,2019-10-28,24-330,NOP,,GSW,L (-11),0,26:28,6,10,.600,3,6,.500,1,4,.250,2,4,6,2,3,1,0,2,16,17.1,+5
5,2019-10-31,24-333,NOP,,DEN,W (+15),0,3:22,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,-0.8,+3
6,2019-11-02,24-335,NOP,@,OKC,L (-11),0,19:06,1,3,.333,1,3,.333,0,0,,1,2,3,0,0,1,1,2,3,1.5,0
7,2019-11-04,24-337,NOP,@,BRK,L (-10),0,6:17,1,2,.500,1,1,1.000,0,0,,1,2,3,0,1,1,0,0,3,5.0,-7
8,2019-11-08,24-341,NOP,,TOR,L (-18),0,11:19,1,4,.250,0,2,.000,0,0,,0,2,2,2,0,0,0,4,2,0.0,+15
9,2019-11-09,24-342,NOP,@,CHO,W (+5),1,28:20,6,8,.750,3,5,.600,0,2,.000,2,3,5,3,2,1,0,3,15,16.9,+7
10,2019-11-11,24-344,NOP,,HOU,L (-6),1,38:06,3,8,.375,2,7,.286,0,0,,3,8,11,2,0,0,1,3,8,7.3,-14
