game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,32-360,LAC,,LAL,W (+10),0,36:44,8,14,.571,1,4,.250,4,4,1.000,1,4,5,7,1,0,2,0,21,20.2,+13
2,2019-10-24,32-362,LAC,@,GSW,W (+19),0,29:24,5,11,.455,1,3,.333,11,11,1.000,0,3,3,8,1,0,0,1,22,23.4,-2
3,2019-10-26,32-364,LAC,@,PHO,L (-8),0,28:32,7,17,.412,3,7,.429,6,9,.667,0,2,2,2,0,0,5,2,23,8.9,+2
4,2019-10-28,33-001,LAC,,CHO,W (+15),0,28:59,7,17,.412,2,6,.333,7,9,.778,1,3,4,4,1,0,3,1,23,15.1,-1
5,2019-10-30,33-003,LAC,@,UTA,L (-14),1,27:31,9,17,.529,1,3,.333,5,7,.714,0,3,3,4,0,0,5,2,24,12.8,-11
6,2019-10-31,33-004,LAC,,SAS,W (+6),0,32:11,5,19,.263,1,4,.250,1,2,.500,0,2,2,5,0,0,2,1,12,2.0,+2
7,2019-11-03,33-007,LAC,,UTA,W (+11),0,32:07,6,18,.333,1,4,.250,4,6,.667,1,4,5,3,0,0,1,1,17,8.6,+11
8,2019-11-06,33-010,LAC,,MIL,L (-5),1,39:16,9,27,.333,4,9,.444,12,13,.923,2,4,6,11,0,0,6,5,34,20.6,+8
9,2019-11-07,33-011,LAC,,POR,W (+6),0,28:35,7,16,.438,1,3,.333,11,12,.917,0,3,3,8,0,3,3,1,26,22.4,+5
10,2019-11-11,33-015,LAC,,TOR,W (+10),0,35:46,7,15,.467,2,6,.333,5,6,.833,0,4,4,4,1,0,2,0,21,15.9,0
