game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,33-126,CHO,,CHI,W (+1),0,16:53,6,9,.667,5,7,.714,0,0,,0,2,2,1,0,0,0,1,17,14.0,+1
2,2019-10-25,33-128,CHO,,MIN,L (-22),0,12:17,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,3,0,-4.3,-20
3,2019-10-27,33-130,CHO,@,LAL,L (-19),0,17:19,2,6,.333,1,3,.333,0,0,,1,1,2,0,1,0,0,1,5,3.2,-12
4,2019-10-28,33-131,CHO,@,LAC,L (-15),0,17:15,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,+5
5,2019-10-30,33-133,CHO,@,SAC,W (+7),0,19:42,4,4,1.000,1,1,1.000,2,3,.667,1,2,3,1,1,0,1,3,11,10.2,+1
6,2019-11-02,33-136,CHO,@,GSW,W (+6),0,24:04,3,7,.429,3,7,.429,2,2,1.000,1,2,3,1,1,0,0,1,11,9.9,0
7,2019-11-05,33-139,CHO,,IND,W (+2),0,16:38,2,4,.500,1,3,.333,0,0,,1,1,2,1,0,1,1,1,5,4.0,-2
8,2019-11-07,33-141,CHO,,BOS,L (-21),0,17:35,4,7,.571,0,2,.000,1,1,1.000,0,4,4,0,1,0,0,1,9,7.5,-8
9,2019-11-09,33-143,CHO,,NOP,L (-5),0,16:18,0,3,.000,0,2,.000,2,2,1.000,0,1,1,0,1,0,1,1,2,-0.2,-3
10,2019-11-10,33-144,CHO,@,PHI,L (-8),0,15:07,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-13
