game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-037,UTA,,OKC,W (+5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,25-039,UTA,@,LAL,L (-9),0,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2,2019-10-26,25-040,UTA,,SAC,W (+32),0,4:42,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+2
,2019-10-28,25-042,UTA,@,PHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
3,2019-10-30,25-044,UTA,,LAC,W (+14),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
,2019-11-01,25-046,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,25-048,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,25-051,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,25-053,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-11,25-056,UTA,@,GSW,W (+14),0,1:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
