game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,23-247,MIL,@,HOU,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,23-249,MIL,,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-28,23-251,MIL,,CLE,W (+17),0,2:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
,2019-10-30,23-253,MIL,@,BOS,L (-11),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-01,23-255,MIL,@,ORL,W (+32),0,5:36,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,0,1,3,2.2,+2
,2019-11-02,23-256,MIL,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-04,23-258,MIL,@,MIN,W (+28),0,6:38,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,0,1,0,2,0.6,+3
,2019-11-06,23-260,MIL,@,LAC,W (+5),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-08,23-262,MIL,@,UTA,L (-3),0,2:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
,2019-11-10,23-264,MIL,@,OKC,W (+2),,,,,,,,,,,,,,,,,,,,,,
