game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-026,DET,@,IND,W (+9),0,3:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-1
,2019-10-24,24-027,DET,,ATL,L (-17),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-26,24-029,DET,,PHI,L (-6),0,19:03,4,6,.667,1,3,.333,2,4,.500,2,3,5,0,0,0,1,1,11,8.5,-1
3,2019-10-28,24-031,DET,,IND,W (+2),0,21:25,8,10,.800,3,3,1.000,0,0,,3,9,12,0,0,1,1,0,19,19.7,+7
4,2019-10-30,24-033,DET,@,TOR,L (-12),0,15:52,2,4,.500,1,2,.500,4,7,.571,1,0,1,0,0,0,2,1,9,4.1,+1
5,2019-11-01,24-035,DET,@,CHI,L (-6),0,14:53,3,6,.500,0,2,.000,3,3,1.000,0,4,4,0,0,3,0,0,9,9.3,+7
6,2019-11-02,24-036,DET,,BRK,W (+4),0,6:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-10
7,2019-11-04,24-038,DET,@,WAS,L (-16),0,20:43,5,6,.833,2,2,1.000,3,4,.750,0,4,4,1,0,2,1,2,15,13.9,+2
8,2019-11-06,24-040,DET,,NYK,W (+20),0,18:36,3,8,.375,1,2,.500,0,0,,2,6,8,1,1,1,1,1,7,6.8,+7
9,2019-11-08,24-042,DET,@,IND,L (-6),0,10:46,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-0.4,-4
,2019-11-11,24-045,DET,,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
