game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-180,DAL,,WAS,W (+8),1,21:28,1,2,.500,1,1,1.000,2,2,1.000,0,4,4,3,1,0,0,1,5,7.9,+1
2,2019-10-25,27-182,DAL,@,NOP,W (+7),0,31:56,8,12,.667,0,1,.000,4,4,1.000,2,5,7,3,5,0,0,3,20,23.6,+11
3,2019-10-27,27-184,DAL,,POR,L (-2),1,22:58,3,4,.750,2,2,1.000,0,0,,0,2,2,5,0,0,2,1,8,8.1,-9
4,2019-10-29,27-186,DAL,@,DEN,W (+3),0,24:07,5,8,.625,0,1,.000,2,3,.667,0,3,3,6,1,0,0,1,12,13.7,+14
5,2019-11-01,27-189,DAL,,LAL,L (-9),0,24:39,5,10,.500,2,4,.500,0,0,,0,1,1,2,1,0,1,0,12,8.7,+1
6,2019-11-03,27-191,DAL,@,CLE,W (+20),0,28:05,3,5,.600,1,1,1.000,1,1,1.000,0,4,4,6,2,0,1,2,8,11.3,+15
7,2019-11-06,27-194,DAL,,ORL,W (+1),0,12:32,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-0.8,-10
8,2019-11-08,27-196,DAL,,NYK,L (-4),0,25:45,1,5,.200,0,2,.000,0,0,,1,3,4,2,0,1,1,1,2,1.2,-12
9,2019-11-09,27-197,DAL,@,MEM,W (+16),0,23:40,3,8,.375,0,3,.000,0,0,,1,6,7,6,0,0,1,1,6,6.9,+20
10,2019-11-11,27-199,DAL,@,BOS,L (-10),0,21:11,3,5,.600,0,1,.000,3,4,.750,1,3,4,2,1,1,0,0,9,11.0,-3
