game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-124,CHI,@,CHO,L (-1),0,25:24,7,11,.636,3,5,.600,0,0,,1,2,3,2,1,0,1,1,17,14.4,+12
2,2019-10-25,31-126,CHI,@,MEM,W (+8),0,21:08,3,7,.429,1,4,.250,0,0,,0,1,1,3,1,0,2,1,7,4.3,+6
3,2019-10-26,31-127,CHI,,TOR,L (-24),0,16:00,2,6,.333,1,3,.333,0,0,,0,1,1,1,0,0,2,0,5,0.6,-5
4,2019-10-28,31-129,CHI,@,NYK,L (-7),0,22:03,6,12,.500,2,4,.500,1,2,.500,1,3,4,0,0,1,2,3,15,7.7,-8
5,2019-10-30,31-131,CHI,@,CLE,L (-6),0,22:39,6,14,.429,2,7,.286,0,0,,1,4,5,1,1,0,0,3,14,9.0,+1
6,2019-11-01,31-133,CHI,,DET,W (+6),0,28:40,3,7,.429,2,4,.500,0,0,,2,7,9,2,3,1,1,1,8,11.5,-9
7,2019-11-03,31-135,CHI,@,IND,L (-13),0,25:43,6,12,.500,0,3,.000,0,2,.000,0,3,3,1,3,0,1,1,12,8.4,-10
8,2019-11-05,31-137,CHI,,LAL,L (-6),0,16:36,4,6,.667,0,1,.000,0,2,.000,1,2,3,1,2,1,2,2,8,6.5,0
9,2019-11-06,31-138,CHI,@,ATL,W (+20),0,19:12,1,6,.167,1,4,.250,0,2,.000,1,2,3,2,0,0,2,4,3,-2.5,+2
10,2019-11-09,31-141,CHI,,HOU,L (-23),0,23:40,5,9,.556,1,3,.333,2,2,1.000,3,2,5,3,1,0,1,1,13,13.1,-11
