game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-018,CHO,,CHI,W (+1),1,35:06,6,11,.545,0,2,.000,3,4,.750,4,8,12,1,0,0,1,4,15,12.6,+3
,2019-10-25,27-020,CHO,,MIN,L (-22),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-27,27-022,CHO,@,LAL,L (-19),1,28:40,9,13,.692,1,3,.333,0,0,,7,7,14,1,3,3,0,3,19,25.1,+3
3,2019-10-28,27-023,CHO,@,LAC,L (-15),1,26:52,4,10,.400,3,4,.750,3,4,.750,4,9,13,1,0,0,3,4,14,9.8,-18
4,2019-10-30,27-025,CHO,@,SAC,W (+7),1,34:53,6,14,.429,0,1,.000,0,0,,5,10,15,5,0,0,3,2,12,10.8,+4
5,2019-11-02,27-028,CHO,@,GSW,W (+6),1,19:39,4,7,.571,0,2,.000,2,4,.500,4,4,8,0,0,0,1,1,10,8.5,+1
6,2019-11-05,27-031,CHO,,IND,W (+2),1,17:03,1,5,.200,0,2,.000,5,6,.833,0,1,1,1,0,0,1,0,7,3.5,-24
7,2019-11-07,27-033,CHO,,BOS,L (-21),1,19:02,2,6,.333,0,1,.000,1,2,.500,3,7,10,1,0,0,1,2,5,4.3,-17
8,2019-11-09,27-035,CHO,,NOP,L (-5),1,27:52,4,7,.571,0,1,.000,2,3,.667,3,5,8,2,1,0,2,3,10,9.1,-13
9,2019-11-10,27-036,CHO,@,PHI,L (-8),1,26:58,10,13,.769,2,4,.500,2,3,.667,5,2,7,0,1,0,1,3,24,21.4,+2
