game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,22-218,LAC,,LAL,W (+10),1,9:38,4,4,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,8,6.7,-5
2,2019-10-24,22-220,LAC,@,GSW,W (+19),1,17:52,4,5,.800,0,0,,8,9,.889,1,9,10,1,0,2,1,2,16,17.4,+22
3,2019-10-26,22-222,LAC,@,PHO,L (-8),1,15:27,1,4,.250,0,0,,5,6,.833,2,3,5,0,0,1,1,3,7,5.0,-12
4,2019-10-28,22-224,LAC,,CHO,W (+15),1,20:03,3,5,.600,0,0,,1,1,1.000,2,4,6,1,0,5,4,2,7,6.7,+21
5,2019-10-30,22-226,LAC,@,UTA,L (-14),1,17:46,4,4,1.000,0,0,,0,0,,2,6,8,1,0,2,1,1,8,10.7,+3
6,2019-10-31,22-227,LAC,,SAS,W (+6),1,16:49,2,3,.667,0,0,,2,2,1.000,0,5,5,0,0,0,0,3,6,5.0,+5
7,2019-11-03,22-230,LAC,,UTA,W (+11),1,18:28,4,6,.667,0,0,,3,4,.750,3,6,9,1,1,1,1,1,11,12.9,-13
8,2019-11-06,22-233,LAC,,MIL,L (-5),0,8:32,3,4,.750,0,0,,2,2,1.000,2,2,4,0,0,0,0,3,8,7.2,-10
9,2019-11-07,22-234,LAC,,POR,W (+6),1,19:58,7,12,.583,0,0,,1,2,.500,9,4,13,1,1,2,0,1,15,19.2,-3
10,2019-11-11,22-238,LAC,,TOR,W (+10),1,16:41,3,9,.333,0,0,,0,0,,3,6,9,0,1,1,1,2,6,4.7,+1
